TestCase,Email,Password,Alias,Description
SignUp-Null Password,bi_api2,',cbad944424393cf309efaf0e70f1b125,User/password is invalid.
SignUp-Null Username,'',XNeiHwcdZep1DsZkfd3NzwHOPmNEECLSEP8tG+F/vN+y2Wj4sqlLHiqMpxo5JIulTdpdlbVD5z3bcElLGek/UsbLxb8prnAzX8uyHOpkbhK+qaRnaFMHCJec/HEQZHcdq5ekybEMwxrrq5JNUOJIU+2R3U6kTa5Cz+UyNUMirRM=,cbad944424393cf309efaf0e70f1b125,User/password is invalid.
SignUp-Existing Username,bi_api2,XNeiHwcdZep1DsZkfd3NzwHOPmNEECLSEP8tG+F/vN+y2Wj4sqlLHiqMpxo5JIulTdpdlbVD5z3bcElLGek/UsbLxb8prnAzX8uyHOpkbhK+qaRnaFMHCJec/HEQZHcdq5ekybEMwxrrq5JNUOJIU+2R3U6kTa5Cz+UyNUMirRM=,cbad944424393cf309efaf0e70f1b125,This email already exists.
SignUp-Username equal 2 characters,pi,XNeiHwcdZep1DsZkfd3NzwHOPmNEECLSEP8tG+F/vN+y2Wj4sqlLHiqMpxo5JIulTdpdlbVD5z3bcElLGek/UsbLxb8prnAzX8uyHOpkbhK+qaRnaFMHCJec/HEQZHcdq5ekybEMwxrrq5JNUOJIU+2R3U6kTa5Cz+UyNUMirRM=,cbad944424393cf309efaf0e70f1b125,User/password is invalid.
SignUp-Password over 32 characters,bi_api,ugr6+KfWjtKoNXTgeuMvlulbcv2FmWxw8AHMClZhomnQZ2FicBMsFN6CfupDI2ZfJDfnkTCdMgct+klccZ6RQ97vDGYxy9FZn1pWlztD9uEyAduxIVuXEtJ29mldwP1p0XlzjEZmKE3xMFbpaqifUWrUSTN1GP6s6OPkFMV0gtI=,cbad944424393cf309efaf0e70f1b125,Create email account successfully.
SignUp-Password under 6 characters,bi_api,ugr6+KfWjtKoNXTgeuMvlulbcv2FmWxw8AHMClZhomnQZ2FicBMsFN6CfupDI2ZfJDfnkTCdMgct+klccZ6RQ97vDGYxy9FZn1pWlztD9uEyAduxIVuXEtJ29mldwP1p0XlzjEZmKE3xMFbpaqifUWrUSTN1GP6s6OPkFMV0gtI=,cbad944424393cf309efaf0e70f1b125,Create email account successfully.
SignUp-Username has no domain,pi123,XNeiHwcdZep1DsZkfd3NzwHOPmNEECLSEP8tG+F/vN+y2Wj4sqlLHiqMpxo5JIulTdpdlbVD5z3bcElLGek/UsbLxb8prnAzX8uyHOpkbhK+qaRnaFMHCJec/HEQZHcdq5ekybEMwxrrq5JNUOJIU+2R3U6kTa5Cz+UyNUMirRM=,cbad944424393cf309efaf0e70f1b125,User/password is invalid.
SignUp-Username has special characters,pi(*123,XNeiHwcdZep1DsZkfd3NzwHOPmNEECLSEP8tG+F/vN+y2Wj4sqlLHiqMpxo5JIulTdpdlbVD5z3bcElLGek/UsbLxb8prnAzX8uyHOpkbhK+qaRnaFMHCJec/HEQZHcdq5ekybEMwxrrq5JNUOJIU+2R3U6kTa5Cz+UyNUMirRM=,cbad944424393cf309efaf0e70f1b125,Create email account successfully.
SignUp-Wrong alias in body,pi_api,XNeiHwcdZep1DsZkfd3NzwHOPmNEECLSEP8tG+F/vN+y2Wj4sqlLHiqMpxo5JIulTdpdlbVD5z3bcElLGek/UsbLxb8prnAzX8uyHOpkbhK+qaRnaFMHCJec/HEQZHcdq5ekybEMwxrrq5JNUOJIU+2R3U6kTa5Cz+UyNUMirRM=,1.23E+11,User/password is invalid.
SignUp-None alias in body,pi_api,XNeiHwcdZep1DsZkfd3NzwHOPmNEECLSEP8tG+F/vN+y2Wj4sqlLHiqMpxo5JIulTdpdlbVD5z3bcElLGek/UsbLxb8prnAzX8uyHOpkbhK+qaRnaFMHCJec/HEQZHcdq5ekybEMwxrrq5JNUOJIU+2R3U6kTa5Cz+UyNUMirRM=,,Your application registry is invalid.
SignUp-Success,bi_api2,XNeiHwcdZep1DsZkfd3NzwHOPmNEECLSEP8tG+F/vN+y2Wj4sqlLHiqMpxo5JIulTdpdlbVD5z3bcElLGek/UsbLxb8prnAzX8uyHOpkbhK+qaRnaFMHCJec/HEQZHcdq5ekybEMwxrrq5JNUOJIU+2R3U6kTa5Cz+UyNUMirRM=,cbad944424393cf309efaf0e70f1b125,Create email account successfully.
